date,open,high,low,close,volume,quote_asset_volume,num_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,fgi_value,sentiment_code,RSI,EMAF,EMAM,EMAS
2018-02-01,10285.099609,10335.000000,8750.990234,9224.519531,33564.765625,317636352.000000,316020.000000,15430.003906,146130720.000000,30.000000,2.000000,51.498951,9224.519531,9224.519531,9224.519531
2018-02-02,9224.519531,9250.000000,8010.020020,8873.030273,49971.628906,434236480.000000,453411.000000,23113.503906,201292752.000000,15.000000,0.000000,51.498951,9107.356445,9160.612393,9191.044364
2018-02-03,8873.030273,9473.009766,8229.000000,9199.959961,28725.000000,256834736.000000,327519.000000,14182.837891,127068648.000000,40.000000,2.000000,51.498951,9138.224284,9167.766496,9191.893468
2018-02-04,9199.959961,9368.000000,7930.000000,8184.810059,32014.308594,274912288.000000,356134.000000,13805.295898,118884552.000000,24.000000,0.000000,51.498951,8820.419542,8989.047144,9095.980762
2018-02-05,8179.990234,8382.799805,6625.000000,6939.990234,63403.183594,471166208.000000,533510.000000,29857.357422,222022400.000000,11.000000,0.000000,51.498951,8193.609773,8616.491342,8890.648331
2018-02-06,6939.629883,7878.000000,6000.009766,7652.140137,100201.500000,684364288.000000,785996.000000,49565.019531,339117632.000000,8.000000,0.000000,51.498951,8013.119894,8441.154760,8772.695170
2018-02-07,7655.020020,8476.000000,7150.009766,7599.000000,60778.460938,477935040.000000,514893.000000,30084.835938,237137968.000000,36.000000,2.000000,51.498951,7875.079929,8288.035712,8660.914677
2018-02-08,7599.000000,7844.000000,7572.089844,7784.020020,1521.537354,11770168.000000,12417.000000,844.258789,6532638.500000,30.000000,2.000000,51.498951,7844.726626,8196.396496,8577.400901
2018-02-09,7789.899902,8738.000000,7789.899902,8683.919922,20482.910156,173348464.000000,273091.000000,10404.041016,88117560.000000,44.000000,2.000000,51.498951,8124.457725,8285.037119,8587.545569
2018-02-10,8683.929688,9065.780273,8120.000000,8533.980469,49381.511719,423411424.000000,537578.000000,24506.722656,210253728.000000,54.000000,4.000000,51.498951,8260.965306,8330.299546,8582.444131
2018-02-11,8533.990234,8549.000000,7726.529785,8063.879883,45025.187500,366966432.000000,524626.000000,23180.341797,188849920.000000,31.000000,2.000000,51.498951,8195.270165,8281.859607,8533.057060
2018-02-12,8063.819824,8989.000000,8053.000000,8903.000000,41987.851562,362440832.000000,477660.000000,20916.949219,180528464.000000,42.000000,2.000000,51.498951,8431.180110,8394.794224,8568.289721
2018-02-13,8903.000000,8950.000000,8351.000000,8539.900391,35454.972656,305165152.000000,401893.000000,16558.455078,142530992.000000,35.000000,2.000000,51.498951,8467.420204,8421.177164,8565.585975
2018-02-14,8535.169922,9489.599609,8533.000000,9449.990234,40811.953125,370126688.000000,514897.000000,20508.462891,185896384.000000,55.000000,3.000000,51.498951,8794.943547,8608.234085,8649.814952
2018-02-15,9449.980469,10219.500000,9301.500000,10000.089844,52427.597656,512388480.000000,608349.000000,25805.099609,252255264.000000,71.000000,3.000000,54.804644,9196.658979,8861.298769,8778.412561
2018-02-16,10000.889648,10323.370117,9666.000000,10159.980469,38161.207031,381103296.000000,405310.000000,18313.003906,182947136.000000,67.000000,3.000000,58.166498,9517.766143,9097.422714,8909.990457
2018-02-17,10156.070312,11075.070312,10050.000000,11039.549805,41882.109375,446012704.000000,413585.000000,21147.625000,225229264.000000,74.000000,3.000000,60.908269,10025.027363,9450.536731,9112.805633
2018-02-18,11039.549805,11274.000000,10080.000000,10383.429688,61137.378906,649423296.000000,537534.000000,29593.863281,314511904.000000,63.000000,3.000000,63.617017,10144.494805,9620.153632,9233.817448
2018-02-19,10375.009766,11250.000000,10270.330078,11153.000000,40831.417969,443766560.000000,366882.000000,20619.876953,224193680.000000,67.000000,3.000000,77.725160,10480.663203,9898.852972,9416.596738
2018-02-20,11147.110352,11786.009766,11100.589844,11200.990234,48153.355469,551573248.000000,432197.000000,24211.492188,277480896.000000,74.000000,3.000000,75.591500,10720.772214,10135.605201,9586.538976
2018-02-21,11195.070312,11304.030273,10200.000000,10437.599609,68113.820312,731537152.000000,542340.000000,32338.074219,347436576.000000,54.000000,4.000000,68.567743,10626.381345,10190.513275,9667.592370
2018-02-22,10439.019531,10933.440430,9679.000000,9811.040039,67060.164062,682006400.000000,506273.000000,33029.296875,336067456.000000,44.000000,2.000000,62.535001,10354.600910,10121.518141,9681.254052
2018-02-23,9815.549805,10435.000000,9570.190430,10131.040039,57202.703125,571800768.000000,467480.000000,28031.011719,280171680.000000,39.000000,2.000000,59.640346,10280.080620,10123.249396,9724.090813
2018-02-24,10131.040039,10496.969727,9352.000000,9694.509766,40888.156250,405618592.000000,337918.000000,18646.871094,185164880.000000,31.000000,2.000000,57.446803,10084.890335,10045.296736,9721.273571
2018-02-25,9694.509766,9847.000000,9274.799805,9590.000000,28373.517578,271286592.000000,233567.000000,13956.661133,133525536.000000,33.000000,2.000000,60.274772,9919.926890,9962.515511,9708.771326
2018-02-26,9590.000000,10444.320312,9350.000000,10324.000000,34878.292969,347559264.000000,285276.000000,17045.769531,169936000.000000,37.000000,2.000000,59.704402,10054.617927,10028.239964,9767.364533
2018-02-27,10321.000000,10870.000000,10121.000000,10569.040039,30705.384766,324295360.000000,240542.000000,15187.083984,160450464.000000,44.000000,2.000000,64.084674,10226.091964,10126.567250,9843.714581
2018-02-28,10584.330078,11098.000000,10300.000000,10326.759766,30800.984375,327914688.000000,277886.000000,14412.846680,153537200.000000,41.000000,2.000000,56.707694,10259.647898,10162.965889,9889.718884
2018-03-01,10325.639648,11060.410156,10240.000000,10920.000000,25092.554688,268172528.000000,230428.000000,12785.404297,136788816.000000,38.000000,2.000000,56.991589,10479.765265,10300.608455,9987.840895
2018-03-02,10923.360352,11200.000000,10770.000000,11039.000000,23910.710938,262936304.000000,211691.000000,11893.333984,130864920.000000,47.000000,4.000000,56.722593,10666.176844,10434.861463,10087.951286
2018-03-03,11038.990234,11544.000000,11015.009766,11464.480469,21287.152344,241749504.000000,190444.000000,10842.682617,123142920.000000,56.000000,3.000000,53.492363,10932.278052,10622.064919,10219.049304
2018-03-04,11464.469727,11565.000000,11050.019531,11515.000000,17295.917969,194849584.000000,168359.000000,8197.401367,92437016.000000,44.000000,2.000000,60.328106,11126.518701,10784.416752,10342.473180
2018-03-05,11515.000000,11710.000000,11415.009766,11454.000000,15144.231445,174866944.000000,164318.000000,7668.823730,88588984.000000,55.000000,3.000000,53.155440,11235.679134,10906.159160,10448.332877
